"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
4.799974040E-1,4.165403843E-1,-2.191597521E-1,-1.181861877E0
4.824999580E-1,5.193871260E-1,-1.922662258E-1,-1.261559486E0
4.850026480E-1,6.760293245E-1,-1.744257510E-1,-1.331027985E0
4.875051890E-1,7.607694268E-1,-1.887243390E-1,-1.336355209E0
4.900076500E-1,6.965446472E-1,-2.569029033E-1,-1.319345474E0
4.925103560E-1,6.506166458E-1,-2.948840857E-1,-1.371038437E0
4.950128960E-1,5.766606331E-1,-2.080982924E-1,-1.257450104E0
4.975155870E-1,3.009366989E-1,-5.440574884E-2,-1.388513565E0
5.000181270E-1,2.601990700E-1,9.189084172E-2,-1.511349678E0
5.025205890E-1,2.993873358E-1,3.561427593E-1,-1.627024174E0
5.050232790E-1,3.303591013E-1,6.539062262E-1,-1.599322319E0
5.075258190E-1,3.464013338E-1,7.322224379E-1,-1.714256287E0
5.100285100E-1,4.332375526E-1,7.389104366E-1,-1.846326351E0
5.125309680E-1,5.211570263E-1,7.095063925E-1,-1.800034523E0
5.150335050E-1,5.529978275E-1,6.132780910E-1,-1.734372616E0
5.175361970E-1,4.569250345E-1,4.798969626E-1,-1.760357857E0
5.200386600E-1,4.137847424E-1,3.955906034E-1,-1.603948116E0
5.225414420E-1,3.495007753E-1,2.842234671E-1,-1.506306648E0
5.250439050E-1,2.666524649E-1,2.170768678E-1,-1.382249832E0
5.275464440E-1,2.532540560E-1,2.137766778E-1,-1.117103577E0
5.300491340E-1,2.348933220E-1,2.043443918E-1,-8.726062775E-1
5.325516900E-1,3.032083511E-1,1.559534073E-1,-5.660972595E-1
5.350543800E-1,3.820800781E-1,1.540125906E-1,-2.646951675E-1
5.375568430E-1,4.038254023E-1,1.504409015E-1,-3.586578369E-2
5.400593800E-1,4.818067551E-1,8.392196894E-2,2.296457291E-1
5.425620610E-1,5.331276655E-1,2.954906225E-2,4.819526672E-1
5.450646020E-1,6.101419926E-1,-7.936060429E-3,7.390966415E-1
5.475670630E-1,6.603914499E-1,-6.794935465E-2,1.038941383E0
5.500697530E-1,6.352813244E-1,-1.391191483E-1,1.101260185E0
5.525722990E-1,7.186299562E-1,-1.639531851E-1,1.131875992E0
5.550749890E-1,8.187309504E-1,-1.911692023E-1,1.076974869E0
5.575774530E-1,7.881290913E-1,-1.763697267E-1,9.018344879E-1
5.600799890E-1,8.079684973E-1,-1.996026635E-1,6.597194672E-1
5.625826770E-1,8.603622913E-1,-2.346539497E-1,4.116115570E-1
5.650852170E-1,8.659986258E-1,-2.581719160E-1,1.578340530E-1
5.675876790E-1,8.500282764E-1,-2.163421512E-1,-7.843685150E-2
5.700903690E-1,8.446589708E-1,-2.231018543E-1,-3.062648773E-1
5.725929040E-1,8.578830957E-1,-2.759459019E-1,-4.837207794E-1
