"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
7.575306410E-1,-1.598895073E1,-4.311000347E0,7.179000378E0
7.600330620E-1,-1.591200066E1,-4.327950001E0,7.512000561E0
7.625355230E-1,-1.577595043E1,-4.342050076E0,7.789950371E0
7.650379750E-1,-1.552005100E1,-4.394999981E0,8.038949966E0
7.675404370E-1,-1.519095039E1,-4.504950047E0,8.193000793E0
7.700429090E-1,-1.490595055E1,-4.629000187E0,8.226000786E0
7.725453710E-1,-1.456605053E1,-4.701000214E0,8.226000786E0
7.750478330E-1,-1.429305077E1,-4.717950344E0,8.077950478E0
7.775502950E-1,-1.402500057E1,-4.749000072E0,7.873950481E0
7.800527560E-1,-1.371405029E1,-4.753950119E0,7.630050182E0
7.825552170E-1,-1.343595028E1,-4.749000072E0,7.366050243E0
7.850576780E-1,-1.322505093E1,-4.716000080E0,6.966000557E0
7.875601390E-1,-1.304295063E1,-4.687050343E0,6.475050449E0
7.900625260E-1,-1.294005108E1,-4.680000305E0,5.986950397E0
7.925649850E-1,-1.292295074E1,-4.653000355E0,5.521950245E0
7.950674470E-1,-1.296405029E1,-4.593000412E0,5.026050091E0
7.975699130E-1,-1.306500053E1,-4.522050381E0,4.534950256E0
8.000723750E-1,-1.316505051E1,-4.516950130E0,4.068000317E0
8.025748360E-1,-1.325595093E1,-4.573950291E0,3.598950148E0
8.050773030E-1,-1.333005047E1,-4.552950382E0,3.205950260E0
8.075797650E-1,-1.338795090E1,-4.576950073E0,2.835000038E0
8.100822270E-1,-1.350300026E1,-4.564949989E0,2.557050228E0
8.125847220E-1,-1.357200050E1,-4.443000317E0,2.392050028E0
8.150871840E-1,-1.366800022E1,-4.348950386E0,2.253000021E0
8.175896610E-1,-1.383795071E1,-4.210050106E0,2.155050039E0
8.200921220E-1,-1.408500099E1,-4.075950146E0,2.076000214E0
8.225945830E-1,-1.433400059E1,-3.895950079E0,2.040000200E0
8.250970630E-1,-1.467405033E1,-3.748050213E0,2.035050154E0
8.275995240E-1,-1.504500103E1,-3.607050180E0,2.107050180E0
8.301019850E-1,-1.545195103E1,-3.465000153E0,2.128050089E0
