"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
5.638393427E0,2.251875114E1,1.629375076E1,-2.771250153E1
5.658397164E0,2.244375038E1,1.646250153E1,-2.891250038E1
5.678395867E0,2.120625114E1,1.781250000E1,-2.904375076E1
5.698391218E0,2.004375076E1,1.807500076E1,-2.855625153E1
5.718394338E0,1.936875153E1,1.869375038E1,-2.795625114E1
5.738392981E0,1.920000076E1,2.036250114E1,-2.767500114E1
5.758388438E0,1.861875153E1,2.053125000E1,-2.718750191E1
5.778391597E0,1.882500076E1,2.229375076E1,-2.610000038E1
5.798390553E0,1.901250076E1,2.274375153E1,-2.589375114E1
5.818385386E0,1.880625153E1,2.238750076E1,-2.488125038E1
5.838388961E0,1.899375153E1,2.201250076E1,-2.559375191E1
5.858387834E0,1.968750000E1,2.250000000E1,-2.488125038E1
5.878394077E0,2.045625114E1,2.280000114E1,-2.418750191E1
5.898394647E0,2.274375153E1,2.257500076E1,-2.227500153E1
5.918391603E0,2.349375153E1,2.251875114E1,-2.156250000E1
5.938395992E0,2.424375153E1,2.188125038E1,-2.075625038E1
5.958395286E0,2.405625153E1,2.161875153E1,-2.124375153E1
5.978390629E0,2.296875000E1,2.295000076E1,-2.308125114E1
5.998394086E0,2.066250038E1,2.289375114E1,-2.480625153E1
6.018392862E0,1.895625114E1,2.330625153E1,-2.641875076E1
6.038387529E0,1.693125153E1,2.398125076E1,-2.733750153E1
6.058391069E0,1.717500114E1,2.445000076E1,-2.795625114E1
6.078389396E0,1.636875153E1,2.600625038E1,-2.555625153E1
6.098395649E0,1.599375057E1,2.664375114E1,-2.516250038E1
6.118396195E0,1.616250038E1,2.720625114E1,-2.396250153E1
6.138392656E0,1.636875153E1,2.776875114E1,-2.386875153E1
6.158396921E0,1.561875057E1,2.958750153E1,-2.289375114E1
6.178396478E0,1.503750038E1,2.975625038E1,-2.238750076E1
6.198392158E0,1.387500095E1,3.084375191E1,-2.180625153E1
6.218395254E0,1.338750076E1,3.166875076E1,-2.071875000E1
6.238393590E0,1.331250095E1,3.185625076E1,-1.809375000E1
6.258388623E0,1.387500095E1,3.270000076E1,-1.620000076E1
6.278392254E0,1.368750095E1,3.408750153E1,-1.451250076E1
6.298389071E0,1.391250038E1,3.354375076E1,-1.278750038E1
