"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
8.476192830E-1,-1.171253204E1,3.071915388E0,-1.208283186E0
8.501216700E-1,-1.189463043E1,3.068915606E0,-1.136283159E0
8.526241290E-1,-1.194078255E1,3.109195232E0,-9.557037354E-1
8.551265910E-1,-1.185468102E1,3.009520769E0,-9.927225113E-1
8.576290670E-1,-1.176363182E1,2.932570934E0,-1.043722391E0
8.601315290E-1,-1.161487007E1,2.982914209E0,-9.892721176E-1
8.626339850E-1,-1.142839813E1,3.028885126E0,-1.074734211E0
8.651364470E-1,-1.116859436E1,3.033578396E0,-1.146548986E0
8.676388990E-1,-1.081673622E1,3.109259605E0,-1.226840019E0
8.701413610E-1,-1.036478615E1,3.083309650E0,-1.320890188E0
8.726438230E-1,-9.829180717E0,3.060311794E0,-1.371213198E0
8.751462850E-1,-9.350340843E0,3.048764706E0,-1.338675261E0
8.776487370E-1,-8.850210190E0,3.083130121E0,-1.313737631E0
8.801511980E-1,-8.271629333E0,3.098403692E0,-1.153683424E0
8.826536590E-1,-7.763579845E0,3.120453596E0,-1.062783480E0
8.851561200E-1,-7.248630047E0,3.098403692E0,-9.477334023E-1
8.876585810E-1,-6.698580265E0,3.088353634E0,-7.497334480E-1
8.901610420E-1,-6.238679409E0,3.091353655E0,-6.037833691E-1
8.926635040E-1,-5.855579853E0,3.048453569E0,-3.537333012E-1
8.951659660E-1,-5.503679752E0,2.973453522E0,-6.168341637E-2
8.976684280E-1,-5.095679760E0,2.863353491E0,1.682665348E-1
9.001708710E-1,-4.746659756E0,2.880463362E0,8.602902889E-1
9.026733330E-1,-4.505939007E0,2.856292486E0,1.214170456E0
9.051757950E-1,-4.260547161E0,2.854228020E0,1.675510645E0
9.076782750E-1,-3.889162540E0,2.844423771E0,2.750504732E0
9.101807360E-1,-3.412495613E0,2.746575594E0,3.376462460E0
9.126831970E-1,-3.016334534E0,2.703761578E0,3.876412392E0
9.151856490E-1,-2.926681042E0,2.687984467E0,3.940712929E0
9.176881100E-1,-2.951541424E0,2.687049389E0,4.078539848E0
9.201905960E-1,-3.152952671E0,2.723484278E0,3.908567190E0
9.226930580E-1,-3.156773090E0,2.822683573E0,4.156924248E0
9.251955150E-1,-3.249088764E0,2.753541708E0,4.326057434E0
9.276979770E-1,-3.443188190E0,2.724591494E0,4.446057320E0
9.302004390E-1,-3.668188572E0,2.746641636E0,4.539958000E0
