"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
6.385452960E-1,6.312000275E0,-4.857000351E0,5.271000385E0
6.410480630E-1,6.271950245E0,-4.857000351E0,5.188950062E0
6.435508320E-1,6.483000278E0,-4.914000034E0,5.074050426E0
6.460536010E-1,6.673950195E0,-4.902000427E0,4.950000286E0
6.485563710E-1,6.906000137E0,-4.897950172E0,4.753050327E0
6.510591400E-1,7.110000134E0,-5.001000404E0,4.497000217E0
6.535619090E-1,7.266000271E0,-5.146950245E0,4.312950134E0
6.560644450E-1,7.447950363E0,-5.257050037E0,4.090050220E0
6.585672120E-1,7.623000145E0,-5.286000252E0,3.898050070E0
6.610699810E-1,7.801950455E0,-5.347950459E0,3.762000084E0
6.635727600E-1,8.065950394E0,-5.383950233E0,3.618000269E0
6.660755300E-1,8.334000587E0,-5.386050224E0,3.460050106E0
6.685782990E-1,8.596950531E0,-5.416950226E0,3.340050220E0
6.710810730E-1,8.863050461E0,-5.482050419E0,3.264000177E0
6.735837670E-1,9.244050026E0,-5.458050251E0,3.253950119E0
6.760866120E-1,9.591000557E0,-5.527950287E0,3.259050131E0
6.785894210E-1,9.951000214E0,-5.544000149E0,3.289950132E0
6.810921900E-1,1.023795033E1,-5.620950222E0,3.394950151E0
6.835948820E-1,1.053705025E1,-5.628000259E0,3.502950191E0
6.860976500E-1,1.081500053E1,-5.556000233E0,3.654000282E0
6.886004190E-1,1.098495007E1,-5.560950279E0,3.870000124E0
6.911031880E-1,1.097295094E1,-5.530050278E0,4.054049969E0
6.936059570E-1,1.115295029E1,-5.566050053E0,4.188000202E0
6.961087260E-1,1.143795013E1,-5.629950047E0,4.387050152E0
6.986112670E-1,1.165095043E1,-5.619000435E0,4.641000271E0
7.011140340E-1,1.175595093E1,-5.700000286E0,4.939950466E0
7.036168080E-1,1.188300037E1,-5.772000313E0,5.119950294E0
7.061198080E-1,1.180395031E1,-5.712000370E0,5.275050163E0
7.086223490E-1,1.173495102E1,-5.659050465E0,5.338050365E0
7.111251250E-1,1.213995075E1,-5.803050041E0,5.389950275E0
7.136278940E-1,1.249395084E1,-5.841000080E0,5.524050236E0
7.161306640E-1,1.270500088E1,-5.803050041E0,5.710950375E0
7.186334330E-1,1.287195015E1,-5.809950352E0,5.718000412E0
