"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
6.610699910E-1,1.057374999E-1,-4.231562614E0,3.937587500E0
6.635727600E-1,1.131625026E-1,-4.165562630E0,3.985437393E0
6.660755300E-1,1.099999994E-1,-4.090075016E0,4.032324791E0
6.685783040E-1,9.721250087E-2,-4.004962444E0,4.080174923E0
6.710810730E-1,8.758749813E-2,-3.910224915E0,4.125962257E0
6.735837670E-1,7.053750008E-2,-3.810124874E0,4.171750069E0
6.760866500E-1,5.142499879E-2,-3.704799891E0,4.216437340E0
6.785894210E-1,2.901249938E-2,-3.602637529E0,4.253699780E0
6.810921900E-1,8.799999952E-3,-3.504737377E0,4.280237675E0
6.835948820E-1,-1.347499993E-2,-3.411099911E0,4.303612709E0
6.860976500E-1,-2.942499891E-2,-3.334512472E0,4.319562435E0
6.886004190E-1,-4.015000165E-2,-3.268512487E0,4.329187393E0
6.911031880E-1,-4.221250117E-2,-3.220662594E0,4.337712288E0
6.936059570E-1,-4.015000165E-2,-3.189724922E0,4.348299980E0
6.961087260E-1,-3.478749841E-2,-3.168412447E0,4.354762554E0
6.986112670E-1,-1.993750036E-2,-3.156724930E0,4.346237659E0
7.011140390E-1,6.737499963E-3,-3.159887552E0,4.330287457E0
7.036168080E-1,4.606249928E-2,-3.175837517E0,4.313237667E0
7.061198080E-1,9.184999764E-2,-3.191925049E0,4.294125080E0
7.086223580E-1,1.430000067E-1,-3.223824978E0,4.287662506E0
7.111251250E-1,1.993750036E-1,-3.255724907E0,4.286699772E0
7.136278940E-1,2.600125074E-1,-3.265349865E0,4.268549919E0
7.161306640E-1,3.302749991E-1,-3.281300068E0,4.237750053E0
7.186334330E-1,4.036999941E-1,-3.302474976E0,4.204750061E0
7.211361270E-1,4.782249928E-1,-3.326950073E0,4.172712326E0
7.236389810E-1,5.473874807E-1,-3.343037367E0,4.145074844E0
7.261416760E-1,6.133875251E-1,-3.351424932E0,4.118537426E0
7.286444430E-1,6.643999815E-1,-3.343037367E0,4.104650021E0
7.311472300E-1,7.165125012E-1,-3.292987585E0,4.086500168E0
7.336499990E-1,7.580375075E-1,-3.222724915E0,4.066287518E0
7.361527690E-1,7.910374999E-1,-3.138712406E0,4.050337315E0
7.386555380E-1,8.186749816E-1,-3.044937372E0,4.034387589E0
7.411583070E-1,8.314625025E-1,-2.944974899E0,4.024899960E0
7.436608480E-1,8.368250132E-1,-2.836349964E0,4.017337322E0
7.461636150E-1,8.346250057E-1,-2.722500086E0,4.013074875E0
7.486663840E-1,8.229374886E-1,-2.609750032E0,4.009912491E0
7.511691530E-1,8.101499677E-1,-2.496999979E0,4.011012554E0
7.536719220E-1,7.932375073E-1,-2.385212421E0,4.007850170E0
7.561746920E-1,7.739874721E-1,-2.273425102E0,4.000424862E0
7.586774610E-1,7.506124973E-1,-2.164937496E0,3.989700079E0
7.611802300E-1,7.293000221E-1,-2.065937519E0,3.974849939E0
7.636829990E-1,7.079874873E-1,-1.980824947E0,3.957799911E0
7.661857840E-1,6.857125163E-1,-1.905200005E0,3.941849947E0
7.686885540E-1,6.664624810E-1,-1.840299964E0,3.923700094E0
7.711912470E-1,6.558749676E-1,-1.797812462E0,3.900325060E0
7.736940090E-1,6.462500095E-1,-1.773337483E0,3.878050089E0
7.761967790E-1,6.495500207E-1,-1.764812469E0,3.856737375E0
7.786995480E-1,6.538124681E-1,-1.770037532E0,3.823737383E0
7.812023170E-1,6.718249917E-1,-1.790249944E0,3.785374880E0
7.837050860E-1,7.016624808E-1,-1.822287440E0,3.749212503E0
7.862078560E-1,7.431874871E-1,-1.864774942E0,3.723637581E0
7.887103960E-1,7.921375036E-1,-1.907400012E0,3.691737413E0
7.912131630E-1,8.496124744E-1,-1.944662452E0,3.653374910E0
7.937159330E-1,9.187750220E-1,-1.976562500E0,3.596999884E0
7.962187020E-1,9.953625202E-1,-2.002137423E0,3.523575068E0
7.987214380E-1,1.078412533E0,-2.024412394E0,3.455512524E0
8.012242070E-1,1.165587544E0,-2.051087379E0,3.384150028E0
8.037269760E-1,1.249737501E0,-2.079824924E0,3.317187548E0
8.062297550E-1,1.330587506E0,-2.105262518E0,3.256550074E0
8.087324490E-1,1.413637519E0,-2.115987539E0,3.193712473E0
8.112352790E-1,1.494487524E0,-2.112687588E0,3.133074999E0
8.137380500E-1,1.569012523E0,-2.095774889E0,3.071337461E0
8.162407430E-1,1.635012507E0,-2.069099903E0,3.009599924E0
8.187435100E-1,1.691387534E0,-2.037199974E0,2.951025009E0
8.212462790E-1,1.727550030E0,-1.994575024E0,2.891487598E0
8.237490480E-1,1.752025008E0,-1.940400004E0,2.831812382E0
8.262518180E-1,1.758350015E0,-1.869037509E0,2.773375034E0
8.287545870E-1,1.749962449E0,-1.780762434E0,2.719062567E0
8.312573560E-1,1.725350022E0,-1.673237443E0,2.665849924E0
8.337599020E-1,1.690287471E0,-1.547700047E0,2.610574961E0
8.362626690E-1,1.645599961E0,-1.411437511E0,2.559424877E0
8.387654280E-1,1.587025046E0,-1.262387514E0,2.503050089E0
8.412681970E-1,1.525287509E0,-1.110312462E0,2.447637558E0
8.437709670E-1,1.459424973E0,-9.506750107E-1,2.389199972E0
8.462737360E-1,1.383800030E0,-7.910374999E-1,2.330625057E0
8.487765050E-1,1.305012465E0,-6.419875026E-1,2.267787457E0
8.512792740E-1,1.223062515E0,-4.993999898E-1,2.200824976E0
8.537820390E-1,1.132587552E0,-3.536500037E-1,2.129462481E0
8.562847330E-1,1.031525016E0,-1.971749961E-1,2.054937601E0
8.587875770E-1,9.208375216E-1,-6.311249733E-2,1.979449987E0
8.612903480E-1,8.134499788E-1,6.036249921E-2,1.908087492E0
8.637930410E-1,7.196750045E-1,1.688500047E-1,1.838925004E0
8.662958080E-1,6.473500133E-1,2.635875046E-1,1.766600013E0
8.687985770E-1,5.909749866E-1,3.444375098E-1,1.697437525E0
8.713013460E-1,5.483499765E-1,4.083749950E-1,1.628275037E0
8.738041160E-1,5.249750018E-1,4.456374943E-1,1.562274933E0
8.763068800E-1,5.229125023E-1,4.551250041E-1,1.494212508E0
8.788096490E-1,5.388625264E-1,4.413749874E-1,1.428212523E0
8.813124180E-1,5.676000118E-1,4.232249856E-1,1.354787469E0
8.838149450E-1,6.048625112E-1,3.955875039E-1,1.283424973E0
8.863177120E-1,6.505125165E-1,3.583250046E-1,1.211099982E0
8.888204810E-1,6.984999776E-1,3.179000020E-1,1.140837550E0
8.913232450E-1,7.484124899E-1,2.689499855E-1,1.069474936E0
8.938260150E-1,8.006625175E-1,2.103749961E-1,9.982500076E-1
8.963287790E-1,8.570374846E-1,1.434125006E-1,9.216625094E-1
8.988315480E-1,9.028249979E-1,6.462500244E-2,8.417750001E-1
9.013343170E-1,9.506750107E-1,-2.474999987E-2,7.566624880E-1
9.038370630E-1,9.964625239E-1,-1.109625027E-1,6.693499684E-1
9.063398330E-1,1.040050030E0,-1.993750036E-1,5.821750164E-1
9.088426030E-1,1.084737539E0,-2.844874859E-1,4.948624969E-1
9.113452950E-1,1.125162482E0,-3.642374873E-1,4.097499847E-1
9.138480630E-1,1.168887496E0,-4.387624860E-1,3.235374987E-1
9.163508320E-1,1.210274935E0,-5.090249777E-1,2.404875010E-1
9.188536010E-1,1.247537494E0,-5.750250220E-1,1.564749926E-1
9.213563700E-1,1.282737494E0,-6.377249956E-1,6.916250288E-2
9.238591400E-1,1.315737486E0,-6.920375228E-1,-2.131249942E-2
9.263619090E-1,1.342275023E0,-7.484124899E-1,-1.160499975E-1
9.288646780E-1,1.361524940E0,-8.058875203E-1,-2.096875012E-1
9.313674470E-1,1.382699966E0,-8.548374772E-1,-3.107500076E-1
9.338699880E-1,1.395487547E0,-9.017249942E-1,-4.160749912E-1
9.363729860E-1,1.399749994E0,-9.336249828E-1,-5.246999860E-1
9.388757570E-1,1.396587491E0,-9.634624720E-1,-6.395124793E-1
9.413782950E-1,1.383800030E0,-9.879375100E-1,-7.609249949E-1
9.438810680E-1,1.361524940E0,-1.002787471E0,-8.864625096E-1
9.463838370E-1,1.329487443E0,-1.012412548E0,-1.018462539E0
9.488866060E-1,1.291262507E0,-1.023000002E0,-1.154587507E0
9.513893510E-1,1.244374990E0,-1.031525016E0,-1.297312498E0
9.538921210E-1,1.189100027E0,-1.040050030E0,-1.451587439E0
9.563948950E-1,1.126262546E0,-1.052837491E0,-1.605862498E0
9.588976640E-1,1.040050030E0,-1.043212533E0,-1.754912496E0
9.614003580E-1,9.241374731E-1,-9.931625128E-1,-1.886775017E0
9.639031260E-1,7.548750043E-1,-8.952624798E-1,-1.991137505E0
9.664058950E-1,5.324000120E-1,-7.431874871E-1,-2.065662384E0
9.689086640E-1,2.663374841E-1,-5.643000007E-1,-2.114612579E0
9.714114330E-1,-3.795000166E-2,-3.642374873E-1,-2.133724928E0
9.739142030E-1,-3.572250009E-1,-1.556500047E-1,-2.132625103E0
9.764169720E-1,-6.711375117E-1,6.462500244E-2,-2.126300097E0
9.789197500E-1,-9.787250161E-1,2.902624905E-1,-2.111312389E0
9.814222910E-1,-1.259637475E0,4.668124914E-1,-2.041187525E0
9.839252890E-1,-1.511950016E0,6.935499907E-1,-1.977249980E0
9.864280790E-1,-1.739650011E0,8.958125114E-1,-1.958137512E0
9.889308480E-1,-1.931187510E0,1.048987508E0,-1.935724974E0
9.914333860E-1,-2.076937437E0,1.184149981E0,-1.914549947E0
