"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
4.572891128E0,-1.987500072E0,1.567500019E1,-3.560625076E1
4.592890288E0,-2.868750095E0,1.546875095E1,-3.560625076E1
4.612884603E0,-4.218750000E0,1.378125095E1,-3.457500076E1
4.632888665E0,-4.087500095E0,1.425000095E1,-3.478125000E1
4.652888045E0,-4.762500286E0,1.441875076E1,-3.508125305E1
4.672883426E0,-3.712500095E0,1.370625019E1,-3.517500305E1
4.692887316E0,-1.425000072E0,1.468125057E1,-3.568125153E1
4.712885473E0,-3.562500179E-1,1.470000076E1,-3.579375076E1
4.732892070E0,1.125000045E-1,1.333125019E1,-3.646875000E1
4.752893502E0,2.737500191E0,1.284375095E1,-3.676875305E1
4.772890069E0,5.268750191E0,1.198125076E1,-3.723750305E1
4.792894351E0,7.612500191E0,9.656250000E0,-3.590625000E1
4.812892603E0,8.493750572E0,9.393750191E0,-3.628125000E1
4.832888103E0,7.818750381E0,9.656250000E0,-3.660000229E1
4.852891697E0,6.356250286E0,9.056250572E0,-3.680625153E1
4.872890689E0,5.381250381E0,8.381250381E0,-3.840000153E1
4.892885909E0,3.600000143E0,6.975000381E0,-3.828750229E1
4.912888229E0,1.743750095E0,3.525000095E0,-3.783750153E1
4.932887008E0,1.931250095E0,2.137500048E0,-3.901875305E1
4.952893794E0,2.812500000E0,-5.812500119E-1,-3.806250000E1
4.972894882E0,5.718750000E0,-2.175000191E0,-3.853125000E1
4.992891129E0,8.587500572E0,-3.843750238E0,-3.841875076E1
5.012894490E0,8.306250572E0,-4.031250000E0,-3.881250000E1
5.032893982E0,7.668750286E0,-5.531250000E0,-3.879375076E1
5.052889936E0,7.875000477E0,-5.250000000E0,-3.888750076E1
5.072893847E0,8.156250000E0,-6.525000095E0,-3.967500305E1
5.092892355E0,7.912500381E0,-7.725000381E0,-3.886875153E1
5.112886286E0,9.000000000E0,-6.881250381E0,-3.856875229E1
5.132889842E0,9.093750000E0,-6.787500381E0,-3.847500229E1
5.152888633E0,8.718750000E0,-7.443750381E0,-3.926250076E1
5.172883670E0,9.618750572E0,-5.568750381E0,-3.879375076E1
5.192887372E0,1.033125019E1,-5.381250381E0,-3.969375229E1
5.212885173E0,1.087500000E1,-3.881250143E0,-4.001250076E1
5.232891616E0,1.035000038E1,-1.143750072E0,-3.976875305E1
5.252892483E0,9.506250381E0,3.056250095E0,-4.072500229E1
5.272889518E0,9.975000381E0,6.187500477E0,-4.057500076E1
5.292893899E0,9.825000763E0,9.693750381E0,-3.911250305E1
5.312892286E0,1.260000038E1,1.132500076E1,-3.892500305E1
5.332888189E0,1.290000057E1,1.216875076E1,-3.843750000E1
5.352891894E0,1.273125076E1,1.316250038E1,-3.864375305E1
5.372890286E0,1.168125057E1,1.368750095E1,-3.886875153E1
5.392885332E0,1.168125057E1,1.554375076E1,-3.667500305E1
5.412887795E0,1.111875057E1,1.625625038E1,-3.669375229E1
5.432886764E0,8.306250572E0,1.785000038E1,-3.601875305E1
5.452892939E0,6.375000477E0,1.816875076E1,-3.603750229E1
5.472893753E0,4.350000381E0,1.959375000E1,-3.564375305E1
5.492890572E0,3.281250238E0,2.077500153E1,-3.515625000E1
5.512894126E0,1.912500024E0,2.064375114E1,-3.446250153E1
5.532893646E0,1.012500048E0,2.017500114E1,-3.476250076E1
5.552889364E0,5.625000000E-1,2.071875000E1,-3.536250305E1
5.572893128E0,8.625000119E-1,2.015625000E1,-3.607500076E1
5.592891926E0,3.375000060E-1,1.940625000E1,-3.534375000E1
5.612885903E0,-1.593750119E0,1.927500153E1,-3.566250229E1
5.632889674E0,-1.518750072E0,1.871250153E1,-3.585000229E1
5.652888646E0,-2.887500048E0,1.850625038E1,-3.615000153E1
5.672883649E0,-3.168750048E0,1.831875038E1,-3.645000076E1
5.692887192E0,-4.087500095E0,1.736250114E1,-3.583125305E1
5.712885045E0,-3.375000238E0,1.738125038E1,-3.693750000E1
5.732891658E0,-2.512500048E0,1.741875076E1,-3.643125153E1
5.752892868E0,-5.250000358E-1,1.856250000E1,-3.624375153E1
5.772889540E0,-1.687500030E-1,1.773750114E1,-3.643125153E1
5.792894163E0,2.437500060E-1,1.747500038E1,-3.733125305E1
5.812892347E0,1.256250024E0,1.565625095E1,-3.740625000E1
5.832888007E0,3.618750095E0,1.505625057E1,-3.860625076E1
5.852891977E0,5.962500095E0,1.530000019E1,-3.860625076E1
5.872890893E0,7.275000095E0,1.413750076E1,-3.776250076E1
5.892886019E0,6.806250095E0,1.413750076E1,-3.828750229E1
